file_type,file_path,preview_detected,status,screenshot
PNG,/Users/stephennixonrivaldo/Documents/test_automation_ui/sample.png,True,PASS,/Users/stephennixonrivaldo/Documents/test_automation_ui/results/preview_pass.png
PNG,/Users/stephennixonrivaldo/Documents/test_automation_ui/sample.png,True,PASS,/Users/stephennixonrivaldo/Documents/test_automation_ui/results/preview_pass.png
